species_name,data_cleaning_issues,unique_occ_10,alpha_hull,SDM,AIC_issue,Range_unfilling,Realm_ok,CBI_ok,Final_species
Abies_sibirica,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_spectabilis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_squamata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_veitchii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abies_vejarii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abies_yuanbaoshanensis,No,No,NA,NA,NA,NA,NA,NA,NA
Abies_ziyuanensis,No,No,NA,NA,NA,NA,NA,NA,NA
Abrahamia_deflexa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abrahamia_ditimena,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abrahamia_grandidieri,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abrahamia_humbertii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abrahamia_latifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abrahamia_lecomtei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abrahamia_longipetiolata,No,No,NA,NA,NA,NA,NA,NA,NA
Abrahamia_louvelii,No,No,NA,NA,NA,NA,NA,NA,NA
Abrahamia_oblongifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Abrahamia_pauciflora,No,No,NA,NA,NA,NA,NA,NA,NA
Abrahamia_phillipsonii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abrahamia_sericea,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abrahamia_suarezensis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abrahamia_thouvenotii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abrahamia_viguieri,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abuta_grandifolia,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abuta_grisebachii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Abuta_imene,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abuta_panurensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abuta_rufescens,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abuta_sandwithiana,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abuta_velutina,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abutilon_bastardioides,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_giganteum,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Abutilon_grandidentatum,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_haenkeanum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_herzogianum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_incanum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_leonardii,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_peruvianum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_purpusii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_pyramidale,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_sachetianum,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_stenopetalum,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_tehuantepecense,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_thyrsodendron,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Abutilon_venosum,No,No,NA,NA,NA,NA,NA,NA,NA
Abutilon_whistleri,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_acradenia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_acrionastes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_acuminata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_adsurgens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_adunca,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_aestivalis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_alleniana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_amblyophylla,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_ammobia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ammophila,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_amoena,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ampliata,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_ampliceps,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_anastema,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_anaticeps,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ancistrocarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_aneura,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Acacia_anfractuosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_angusta,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_anisophylla,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_anthochaera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_aprepta,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_arafurica,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_araneosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_argyraea,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_argyrodendron,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_armillata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_armitii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_assimilis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_atopa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_attenuata,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_aulacocarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_auriculiformis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_auripila,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_ausfeldii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_axillaris,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ayersiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_baileyana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_bakeri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_bancroftiorum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_barrettiorum,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_beauverdiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_binervata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_binervia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_blakei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_blakelyi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_blayana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_brachystachya,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_brassii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_brockii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_bromilowiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_brumalis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_bulgaensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_burrowii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_burrowsiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_caerulescens,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_caesiella,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_calamifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_calcicola,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cambagei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cangaiensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cardiophylla,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_carneorum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_caroleae,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_catenulata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_celastrifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_chartacea,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_cheelii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_chrysotricha,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_cincinnata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_citrinoviridis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_clunies-rossiae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cockertoniana,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_cognata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_colei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_colletioides,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_complanata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_concurrens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_conferta,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_confusa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_conniana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_conspersa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_convallium,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_coolgardiensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_coriacea,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Acacia_courtii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_covenyi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cowaniana,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_cowleana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_craspedocarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_crassa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_crassicarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_crenulata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cretata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_crombiei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cultriformis,No,Yes,Yes,No,NA,NA,NA,NA,NA
Acacia_curvinervia,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_cuspidifolia,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_cuthbertsonii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_cyclops,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_cyperophylla,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dallachiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dangarensis,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_dawsonii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dealbata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_deanei,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_debilis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_decora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_decurrens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_delibrata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_demissa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dempsteri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dentifera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_desertorum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_desmondii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_didyma,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_dietrichiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_difficilis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_difformis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dimidiata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_distans,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dodonaeifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_dolichophylla,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_donaldsonii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_doratoxylon,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_drepanophylla,No,Yes,orphaned_hole,NA,NA,NA,NA,NA,NA
Acacia_dunnii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_duriuscula,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_echinuliflora,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_effusifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_elachantha,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_elata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_elongata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_enervia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ensifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ephedroides,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_eremaea,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_eriopoda,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_estrophiolata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_excelsa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_falcata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_falciformis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_fasciculifera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_fauntleroyi,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_filicifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_filifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_fimbriata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_flavescens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_fleckeri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_flocktoniae,No,Yes,orphaned_hole,NA,NA,NA,NA,NA,NA
Acacia_floribunda,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_floydii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_frigescens,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_fulva,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_galeata,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_gardneri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_georgensis,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_georginae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_gibbosa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_gillii,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_glaucocaesia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_glaucocarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_gnidium,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_gonocarpa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_gonoclada,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_grandifolia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_grasbyi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_hakeoides,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_hamersleyensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_hammondii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_harpophylla,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_havilandiorum,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_hemignosta,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_hemsleyi,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_heteroclita,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_heterophylla,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_holosericea,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_holotricha,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_howittii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_hylonoma,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_implexa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_inaequilatera,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_inceana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ingramii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_intorta,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_irrorata,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_islana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_ixodes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_jamesiana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_jasperensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_jennerae,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
Acacia_jensenii,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_jibberdingensis,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_jucunda,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_julifera,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_kauaiensis,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_kelleri,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_kempeana,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_kenneallyi,No,No,NA,NA,NA,NA,NA,NA,NA
Acacia_kettlewelliae,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_koa,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Acacia_koaia,No,Yes,Yes,Yes,No,Yes,Yes,No,NA
